                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.85,                 2.4075,                 1.7243,                0.70155,                0.44575,                0.59792,                0.33525,                 1.5842,                 1.6056,                 1.5139,             0.00045009,             0.00045009,             0.00045009
                      2,                 1.5963,                 1.4667,                   1.45,                0.28709,                0.72734,                0.39195,                0.18051,                 1.7409,                 3.1564,                 1.5805,              0.0008987,              0.0008987,              0.0008987
                      3,                 1.6331,                 1.4265,                  1.515,                0.18632,                0.50855,                0.19946,                0.06251,                 2.1126,                 5.8767,                 2.1086,              0.0013288,              0.0013288,              0.0013288
                      4,                 1.6278,                 1.3294,                 1.5246,                0.26443,                0.44396,                0.25344,                0.12034,                 1.8582,                 1.9064,                 1.7149,               0.001568,               0.001568,               0.001568
                      5,                 1.5705,                   1.32,                 1.4464,                0.51049,                0.77033,                0.62761,                0.33324,                 1.6939,                 3.0316,                 1.7429,               0.001535,               0.001535,               0.001535
                      6,                  1.541,                 1.1882,                 1.4688,                0.58444,                0.74804,                0.63781,                0.33188,                   1.62,                 2.1314,                 1.6148,               0.001502,               0.001502,               0.001502
                      7,                  1.529,                  1.164,                  1.433,                0.64414,                0.85688,                0.84709,                0.50208,                 1.5696,                 1.3455,                 1.4893,               0.001469,               0.001469,               0.001469
                      8,                 1.5215,                 1.1188,                 1.4309,                 0.6364,                0.87349,                 0.8458,                0.39571,                 1.5375,                 1.4822,                 1.4641,               0.001436,               0.001436,               0.001436
                      9,                 1.4827,                 1.0773,                 1.4046,                0.89546,                0.82529,                0.94158,                0.45987,                 1.6189,                 0.9273,                 1.4812,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.4744,                 1.0593,                 1.4193,                 0.7664,                0.77127,                0.83111,                0.42908,                 1.6108,                0.89663,                 1.4587,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.4666,                 1.0402,                 1.4144,                0.87925,                0.91799,                0.96358,                0.51948,                 1.5724,                0.87855,                 1.4026,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.4313,                 1.0008,                 1.3825,                 0.8403,                0.83506,                0.88351,                 0.5136,                 1.5157,                0.79513,                 1.4186,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.4205,                0.97116,                 1.3578,                0.83382,                0.90129,                0.91181,                0.55129,                 1.5044,                0.88013,                 1.4214,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.4223,                0.95302,                 1.3768,                0.92052,                0.96042,                0.96508,                0.58553,                 1.5569,                0.72361,                 1.4541,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.3998,                0.94819,                 1.3793,                0.81245,                0.91611,                 0.9497,                 0.5558,                 1.5507,                0.82159,                 1.4324,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.3685,                0.89783,                 1.3373,                0.83434,                0.97297,                0.94397,                0.58011,                 1.5174,                0.72771,                 1.3915,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.3699,                0.92253,                 1.3415,                 0.8663,                0.82395,                0.94008,                0.57965,                 1.5096,                0.72486,                 1.3799,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.3512,                0.88238,                  1.323,                0.88502,                0.90064,                0.96563,                0.58966,                 1.5647,                 0.7029,                 1.3851,              0.0011059,              0.0011059,              0.0011059
                     19,                  1.365,                0.89211,                 1.3198,                0.92841,                  0.889,                0.96161,                 0.5455,                 1.5401,                0.69586,                 1.4115,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.3334,                0.86279,                 1.3162,                0.88669,                0.97618,                0.97032,                0.56779,                 1.5857,                 0.7377,                  1.436,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.3328,                0.85062,                 1.2977,                 0.9095,                0.93329,                0.97235,                0.61559,                 1.5288,                0.69176,                 1.4102,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.2917,                0.82712,                 1.2929,                 0.9358,                0.89609,                0.96854,                0.59006,                 1.4594,                0.70473,                 1.3605,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.3189,                0.81481,                 1.2939,                0.90403,                0.85117,                0.96621,                0.59791,                 1.5678,                0.73011,                 1.4143,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.2825,                0.83355,                 1.2926,                0.93298,                0.98231,                0.98078,                0.60919,                 1.4501,                0.68221,                 1.3785,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.2489,                0.78961,                 1.2806,                0.91084,                 0.9368,                0.97245,                0.59901,                  1.467,                0.65358,                 1.3864,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.2478,                0.76861,                 1.2748,                0.90563,                0.98311,                0.97659,                0.60743,                 1.4894,                0.63896,                 1.4152,             0.00084184,             0.00084184,             0.00084184
